   table_schema   |             table_name             |        column_name         | foreign_table_schema |    foreign_table_name    |  foreign_column_name  
 customer_success | support_tickets                    | user_id                    | core                 | users                    | id
 customer_success | support_tickets                    | venue_id                   | venues               | venues                   | id
 customer_success | venue_health_scores                | venue_id                   | venues               | venues                   | id
 customers        | customer_profiles                  | user_id                    | core                 | users                    | id
 customers        | feedback_responses                 | feedback_id                | customers            | customer_feedback        | id
 customers        | loyalty_accounts                   | customer_profile_id        | customers            | customer_profiles        | id
 customers        | loyalty_accounts                   | referrer_account_id        | customers            | loyalty_accounts         | id
 customers        | loyalty_accounts                   | loyalty_program_id         | customers            | loyalty_programs         | id
 customers        | loyalty_transactions               | reversal_transaction_id    | customers            | loyalty_transactions     | id
 customers        | loyalty_transactions               | processed_by               | core                 | users                    | id
 customers        | loyalty_transactions               | loyalty_account_id         | customers            | loyalty_accounts         | id
 events           | event_analytics_tracking           | event_id                   | events               | events                   | id
 events           | event_analytics_tracking           | created_by                 | core                 | users                    | id
 events           | event_capacity                     | schedule_id                | events               | event_schedules          | id
 events           | event_capacity                     | event_id                   | events               | events                   | id
 events           | event_capacity_alerts              | event_capacity_id          | events               | event_capacity           | id
 events           | event_capacity_alerts              | acknowledged_by            | core                 | users                    | id
 events           | event_capacity_by_tier             | event_capacity_id          | events               | event_capacity           | id
 events           | event_capacity_by_type             | ticket_type_id             | tickets              | ticket_types             | id
 events           | event_capacity_by_type             | event_capacity_id          | events               | event_capacity           | id
 events           | event_capacity_holds               | ticket_type_id             | tickets              | ticket_types             | id
 events           | event_capacity_holds               | created_by                 | core                 | users                    | id
 events           | event_capacity_holds               | event_capacity_id          | events               | event_capacity           | id
 events           | event_capacity_holds               | released_by                | core                 | users                    | id
